,street,city,state,zipcode,addres,geocode
24241,2401 8th Ave N #202,Seattle,WA,90109,"2401 8th Ave N #202, Seattle, WA","2401, 8th Avenue North, Fremont, Seattle, King County, Washington, 98109, United States"
30065,Gates Canyon Rd,Vacaville,CA,0,"Gates Canyon Rd, Vacaville, CA",
50274,21005 NW 14th Place 346 # 3,Miami Gardens,FL,3316,"21005 NW 14th Place 346 # 3, Miami Gardens, FL",
75866,442 Lake Louise Dr SW,Lakewood,WA,98489,"442 Lake Louise Dr SW, Lakewood, WA","442, Lake Louise Drive Southwest, Lakewood, Pierce County, Washington, 98498, United States"
82977,Cornejo Ricardo Descalzi,Quito Ecuador,NY,0,"Cornejo Ricardo Descalzi, Quito Ecuador, NY",
85027,6789 White River Home,Other City Value - Out Of Area,NY,123456,"6789 White River Home, Other City Value - Out Of Area, NY",
99255,181 Huntington Acres Rd,Huntington,VT,05642,"181 Huntington Acres Rd, Huntington, VT",
104274,141 Crandon Blvd #345,Key Biscayne,FL,33249,"141 Crandon Blvd #345, Key Biscayne, FL","141, Crandon Boulevard, Key Biscayne, Miami-Dade County, Florida, 33149, United States"
110585,Ber Mar LOT 88,San Antonio,TX,78697,"Ber Mar LOT 88, San Antonio, TX",
133024,2315 Gerritsen Ave Unit 3A,Brooklyn,NY,112229,"2315 Gerritsen Ave Unit 3A, Brooklyn, NY",
160330,301 Altara #402,Coral Gables,FL,331446,"301 Altara #402, Coral Gables, FL","301, Altara Avenue, Italian Village, Coral Gables, Miami-Dade County, Florida, 33146, United States"
180694,1203 Fitchie Pl,Durham,NC,22703,"1203 Fitchie Pl, Durham, NC","1203, Fitchie Place, Durham, Durham County, North Carolina, 27703, United States"
202891,80 SW 177 Ave,Miami,FL,33000,"80 SW 177 Ave, Miami, FL",
207598,Ber Mar #Lot 88,San Antonio,TX,78697,"Ber Mar #Lot 88, San Antonio, TX",
229754,0 N Gopher Canyon Rd,Bonsall,CA,--,"0 N Gopher Canyon Rd, Bonsall, CA",
233641,1744 N Dixie Hwy # 1744,Fort Lauderdale,FL,--,"1744 N Dixie Hwy # 1744, Fort Lauderdale, FL","North Dixie Highway, Fort Lauderdale, Broward County, Florida, 33334, United States"
265829,0 Airport Rd,Winston Salem,NC,2105,"0 Airport Rd, Winston Salem, NC","Airport Road, Winston-Salem, Forsyth County, North Carolina, 27105, United States"
285694,SW Campbellton Rd,Atlanta,GA,27000,"SW Campbellton Rd, Atlanta, GA",
303553,000 U.S. Hwy 359,Laredo,TX,0,"000 U.S. Hwy 359, Laredo, TX",
306187,435 pescador,Foreign Country,OS,00000,"435 pescador, Foreign Country, OS",
326099,28405 Aurora Rd,Solon,OH,44037,"28405 Aurora Rd, Solon, OH","28405, Aurora Road, Solon, Cuyahoga County, Ohio, 44139, United States"
328302,0 American Way Rd,Memphis,TN,38818,"0 American Way Rd, Memphis, TN",
330682,1001 Panama,Other City Value - Out Of Area,FL,5940,"1001 Panama, Other City Value - Out Of Area, FL",
354792,22115 Military Rd,SeaTac,WA,98798,"22115 Military Rd, SeaTac, WA",
